Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Endokardit,plöretik ağrı,kalınlaşmak,adele ağrısı,düşük ateş,gece terlemesi
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Gut,şişme,kızarıklık,yoğun eklem ağrısı,ani sıcak basması,ağrı
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
Anemi,yorgunluk,nefes darlığı,baş dönmesi,soluk cilt,denge kaybı
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Mesane Bozukluğu,sık idrara çıkma,aciliyet,pelvik ağrısı,,
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Kovid,yorgunluk,yüksek ateş,öksürük,tat kaybı,koku kaybı
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Gastroenterit,kusma,ishal,çökmüş gözler,dehidrasyon,mide bulantısı
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Kardiyomiyopati,nefes darlığı,dik durma haricinde nefes darlığı,hamlık,juguler venöz dolgunluk,çarpıntı
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Dehidrasyon,baygınlık,ateş,ishal,kusma,tansiyon düşüklüğü
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,
Huzursuz Bağırsak Sendromu,karın ağrısı,şişkinlik,kabızlık,ishal,
Bitler,kaşıntı,saçta gözle görülür bit varlığı,,,
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
Dang Humması,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Kovid,yorgunluk,yüksek ateş,öksürük,tat kaybı,koku kaybı
Selülit,deri kızarıklığı,ağrı,şişme,kızarıklık,ateş
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Selülit,deri kızarıklığı,ağrı,şişme,kızarıklık,ateş
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
Koroner Arterioskleroz,göğüs ağrısı,nefes darlığı,hamlık,ter,göğüste baskı
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Melanom,vücut yapısının büyümesi,kısmi felç,ateş,gravida 0,ağrı
Osteomiyelit,ağrı,kızarıklık,prostat hassaslığı,ateş,idrarı yapma zorluğu
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı
Böbrek Yetmezliği,nefes darlığı,yorgunluk,dik durma haricinde nefes darlığı,idrar tutamama,tansiyon düşüklüğü
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Artrit,kas güçsüzlüğü,boyun tutulması,eklemlerin şişmesi,hareket kısıtlılığı,ağrılı yürüyüş
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
İskemi,göğüs ağrısı,nefes darlığı,uyuklama,göğüste baskı,göğüs rahatsızlığı
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Kolon Kanseri,dışkı alışkanlıklarında değişiklik,ishalimsi,kabızlık,dışkı azalması,dışkıda kan
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Periferik Damar Hastalığı,nefes darlığı,dinlenirken ağrı durumu,göğüs ağrısı,tepkisizlik,hiperkalemi
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Salmonella,ateş,ishal,karın krampları,mide bulantısı,kusma
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Pankreatit,kusma,karın ağrısı,mide bulantısı,ağrı,ishal
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği
Nöropati,bitkinlik,uyuşukluk ve hissizlik,mide bulantısı ve kusma,erken uyanmak,plevral boşluğun hava ve sıvı ile dolması
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Akut Böbrek Yetmezliği,böbrek fonksiyonunda azalma,hiperkalemi,tansiyon düşüklüğü,hipokalsemi sonucu,idrar azlığı
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Gıda Alerjisi,döküntü,kaşıntı,şişme,nefes almada zorluk,sindirim sistemi ile ilgili semptomlar
Saçkıran,saç dökülmesi veya kellik,düzensiz veya genelleştirilmiş saç dökülmesi,,,
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
Solunum Yetmezliği,nefes darlığı,hemipleji,horlama,tepkisizlik,balgamlı öksürük
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Peptik Ülser,karın ağrısı,kısmi felç,mide bulantısı,kusma,birden fazla kasta ağrı
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
Kazanılmış Bağışıklık Sendromu,ateş,gece terlemesi,membranların kendiliğinden yırtılması,öksürük,vücut ağırlığının azalması
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,
Kolesteatom,kulak ağrısı,işitme kaybı,kulak drenajı,baş dönmesi veya vertigo,kulak çınlaması
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Testis Kanseri,testislerde şişlik veya yumru,ağrı veya rahatsızlık,testis boyutunda veya şeklinde değişiklikler,,
Böbrek Hastalığı,nefes darlığı,hiperkalemi,göğüs ağrısı,ateş,gravida 0
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,düşmek,karın şişmesi,dengesiz yürüyüş
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
Üst Solunum Yolu Enfeksiyonu,nefes darlığı,öksürük,boğaz ağrısı,hırıltı,zor nefes alma
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Pnömokistik Carinii Pnömoni,kuru öksürük,sarı balgam,kansızlık ve kilo kaybı,üşümek,vücut ağırlığının azalması
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü
Baş ve Boyun Kanseri,kalıcı boğaz ağrısı,yutma güçlüğü,ses değişiklikleri,kulak ağrısı,boyun kitlesi
Triküspit Kapak Yetmezliği,nefes darlığı,ağrı,kusma,mide bulantısı,düşük nabız
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
